"lon","lat","Max_Snow"
-126.3,51.2,1.5670919418335
-126.2,51.2,1.64770317077637
-126.1,51.2,1.7268590927124
-126,51.2,1.79753017425537
-125.9,51.2,1.84478664398193
-125.8,51.2,1.81921291351318
-125.7,51.2,1.79927444458008
-125.6,51.2,1.78078842163086
-125.5,51.2,1.91109752655029
-125.4,51.2,1.96776676177979
-125.3,51.2,1.93046188354492
-125.2,51.2,1.78961753845215
-125.1,51.2,1.62674427032471
-125,51.2,1.46733951568604
-124.9,51.2,1.40750217437744
-124.8,51.2,1.38796997070312
-124.7,51.2,1.34515571594238
-124.6,51.2,1.31524753570557
-124.5,51.2,1.23513984680176
-124.4,51.2,1.14047241210938
-124.3,51.2,1.03170204162598
-124.2,51.2,0.971123695373535
-124.1,51.2,0.900418281555176
-124,51.2,0.837200164794922
-123.9,51.2,0.778809547424316
-123.8,51.2,0.711161613464355
-123.7,51.2,0.659757614135742
-123.6,51.2,0.62718677520752
-123.5,51.2,0.602965354919434
-123.4,51.2,0.583391189575195
-123.3,51.2,0.560592651367188
-123.2,51.2,0.537335395812988
-123.1,51.2,0.501162528991699
-123,51.2,0.456719398498535
-122.9,51.2,0.393309593200684
-122.8,51.2,0.35353946685791
-122.7,51.2,0.33143424987793
-122.6,51.2,0.33466911315918
-122.5,51.2,0.330219268798828
-122.4,51.2,0.281299591064453
